,Price,Area,Location,No. of Bedrooms,Resale,ShoppingMall,ATM,School,Hospital,VaastuCompliant,City,Amenities,Furnitioned,Capacity(no. of people),clusters
0,105.0,1200,Sector 10 Dwarka,2.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,4.0,0
1,60.0,1000,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
2,150.0,1350,Sarita Vihar,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,0
3,25.0,435,Uttam Nagar,2.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,4.0,0
4,58.0,900,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
5,158.0,1800,Sector 7 Dwarka,4.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,8.0,2
6,154.0,1500,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
7,135.0,1800,Sector 5 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
8,65.0,1000,Sector 23 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
9,110.0,1000,Sector 24 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
10,125.0,1550,Sector 11 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
11,148.0,1800,Sector 23 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
12,125.0,600,Sector 12 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
13,33.0,385,Sector 23 Dwarka,1.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,2.0,0
14,1100.0,2500,West End,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0,4
15,50.0,1000,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
16,175.0,1300,Sector 9 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
17,36.0,1050,Mundka,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,2
18,165.0,1600,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,1,6.0,2
19,105.0,1200,Sector 10 Dwarka,2.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,4.0,0
20,60.0,1000,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
21,150.0,1350,Sarita Vihar,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,0
22,25.0,435,Uttam Nagar,2.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,4.0,0
23,58.0,900,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
24,158.0,1800,Sector 7 Dwarka,4.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,8.0,2
25,154.0,1500,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
26,135.0,1800,Sector 5 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
27,65.0,1000,Sector 23 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
28,125.0,1300,Mayur Vihar II,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,0
29,110.0,1000,Sector 24 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
30,125.0,1550,Sector 11 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
31,148.0,1800,Sector 23 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
32,125.0,600,Sector 12 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
33,33.0,385,Sector 23 Dwarka,1.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,2.0,0
34,1100.0,2500,West End,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0,4
35,50.0,1000,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
36,175.0,1300,Sector 9 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
37,36.0,1050,Mundka,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,2
38,165.0,1600,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,1,6.0,2
39,125.0,1000,Sector 13 Rohini,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,0
40,27.5,630,Jamia Nagar,2.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,4.0,0
41,235.0,2000,Sector 19 Dwarka,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0,2
42,162.0,1600,Sector 10 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
43,135.0,1350,Sector 24 Rohini,4.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,8.0,2
44,55.0,1000,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
45,55.0,1000,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
46,36.21,900,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
47,92.0,1200,Sector 17 Dwarka,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,4.0,0
48,104.0,1125,Sector 23 Rohini,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,2
49,23.5,415,Sector 23 Dwarka,1.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,2.0,0
50,80.0,1500,Dwarka Mor,4.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,8.0,2
51,35.0,675,Bindapur,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,2
52,148.0,1750,Sector-18 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
53,85.0,1200,Dwarka Mor,4.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,8.0,2
54,450.0,4600,Sector-18 Dwarka,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,8.0,4
55,175.0,1650,Vasant Kunj,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,2
56,27.0,540,Dwarka Mor,2.0,0,0.0,0.0,1.0,1.0,1.0,Delhi,1,0,4.0,1
57,49.99,950,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,1
58,46.99,850,Dwarka Mor,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
59,38.0,450,Shastri Nagar,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
60,150.0,1551,Sector-8 Rohini,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,4.0,2
61,30.0,650,Jamia Nagar,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,0
62,51.0,900,Sector 9 Dwarka,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
63,23.5,550,Uttam Nagar,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,0
64,54.99,900,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
65,128.0,1843,Shanti Park Dwarka,3.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,1
66,25.0,630,Govindpuri,2.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,0,0,4.0,0
67,275.0,3000,Sector 22 Dwarka,4.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,8.0,2
68,36.0,675,Matiala,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
69,450.0,1300,Saket,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
70,55.0,1000,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
71,55.0,900,Mahavir Enclave,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,2
72,168.0,1700,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,6.0,2
73,39.0,900,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
74,44.0,1000,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,1
75,150.0,1200,Sector 23 Dwarka,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,4.0,0
76,65.0,700,Shastri Nagar,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
77,29.0,630,Burari,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
78,21.0,540,Burari,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,1,4.0,0
79,62.0,1200,Shahdara,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
80,40.11,1000,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
81,53.0,850,Babarpur,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,2
82,135.0,1500,Sector 19 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
83,24.0,750,Khanpur,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,0
84,145.0,1650,Sector 13 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
85,45.0,810,Mansa Ram Park,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,2
86,160.0,1250,Sector 13 Rohini,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
87,64.0,600,Sector-18 Dwarka,1.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,1,2.0,0
88,350.0,3800,Sector 12 Dwarka,5.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,10.0,4
89,100.0,1000,Sector 24 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
90,23.0,380,Sector 23 Dwarka,1.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,2.0,0
91,69.0,600,Vasant Kunj,1.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,2.0,0
92,175.0,2250,Green Park,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,1
93,165.0,1200,Kalkaji,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,2
94,30.0,645,Jamia Nagar,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
95,135.0,1600,Sector 4 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
96,38.0,1000,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
97,50.0,920,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
98,28.0,570,Dwarka Mor,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
99,1625.0,6400,DLF Phase 5,5.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,10.0,4
100,75.0,1100,Sector 3 Dwarka,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,4.0,0
101,260.0,1650,Chittaranjan Park,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0,2
102,30.0,750,Chattarpur,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
103,30.0,800,Chattarpur,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,0
104,52.0,1000,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
105,180.0,1700,Vasant Kunj,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
106,350.0,1800,Vasant Kunj,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0,2
107,44.0,810,Chattarpur,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
108,155.0,1800,Sector 13 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
109,275.0,1550,Greater Kailash,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
110,82.0,500,Vasant Kunj,1.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,2.0,0
111,47.99,950,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,1
112,150.0,1250,Sector-14 Rohini,3.0,1,1.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,1
113,140.0,1000,Paschim Vihar,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,0
114,65.0,1000,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
115,32.0,620,Dwarka Mor,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
116,66.0,700,Pitampura,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,0
117,68.0,581,Vasant Kunj,1.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,2.0,0
118,26.5,600,Vasant Kunj,1.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,2.0,0
119,104.0,1000,Sector 18B Dwarka,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,4.0,0
120,225.0,2150,Sector 10 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
121,285.0,2350,Sector 11 Dwarka,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,1,8.0,2
122,140.0,1500,Sarita Vihar,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,0
123,54.99,900,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
124,33.99,720,Dwarka Mor,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
125,23.49,450,Dwarka Mor,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
126,60.0,990,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
127,31.99,675,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
128,40.99,765,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
129,54.99,900,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
130,33.99,720,Dwarka Mor,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
131,23.49,450,Dwarka Mor,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
132,59.99,990,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
133,31.99,675,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
134,40.99,765,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
135,54.99,900,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
136,33.99,720,Dwarka Mor,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
137,22.99,450,Dwarka Mor,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
138,60.0,990,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
139,31.99,675,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
140,40.99,765,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
141,189.0,2150,Sector 11 Dwarka,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,1,8.0,2
142,174.0,1950,Sector 4 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,1,6.0,2
143,134.0,1650,Sector 2 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
144,163.99999,1750,Sector 22 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,1,6.0,2
145,192.0,2250,Sector 4 Dwarka,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,1,8.0,2
146,23.0,410,Uttam Nagar,2.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,4.0,0
147,26.0,450,Uttam Nagar,2.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,4.0,0
148,58.0,750,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,1
149,50.0,700,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,1
150,45.0,650,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0,1
151,170.0,1450,Sarita Vihar,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,2
152,135.0,1400,Sarita Vihar,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,2
153,130.0,1150,Sarita Vihar,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,4.0,0
154,183.0,1550,Sarita Vihar,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
155,180.0,1500,Sarita Vihar,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0,2
156,170.0,1550,Sarita Vihar,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
157,190.0,1500,Sarita Vihar,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
158,180.0,1450,Sarita Vihar,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
159,140.0,1200,Sarita Vihar,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0,0
160,45.0,500,Jasola,1.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,2.0,0
161,160.0,1800,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0,1
162,155.0,1700,Sector 4 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
163,160.0,1800,Sector 13 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
164,240.0,2000,Sector 13 Dwarka,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0,2
165,180.0,1900,Sector 13 Dwarka,4.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,8.0,2
166,160.0,1800,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
167,155.0,1700,Sector 13 Dwarka,3.0,1,0.0,1.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
168,180.0,1900,Sector 13 Dwarka,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0,2
169,170.0,1800,Sector 7 Dwarka,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,6.0,2
170,195.0,1900,Sector 7 Dwarka,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,8.0,2
171,165.0,1800,Sector 5 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
172,155.0,1800,Sector 12 Dwarka,3.0,1,1.0,1.0,1.0,1.0,1.0,Delhi,1,1,6.0,3
173,175.0,1800,Sector 12 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0,2
174,47.0,820,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0,1
175,27.0,625,Dwarka Mor,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
176,24.0,525,Dwarka Mor,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
177,35.0,750,Dwarka Mor,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0,0
