,Price,Area,Location,No. of Bedrooms,Resale,ShoppingMall,ATM,School,Hospital,VaastuCompliant,City,Amenities,Furnitioned,Capacity(no. of people)
0,105.0,1200,Sector 10 Dwarka,2.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,4.0
1,60.0,1000,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
2,150.0,1350,Sarita Vihar,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0
3,25.0,435,Uttam Nagar,2.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,4.0
4,58.0,900,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
5,158.0,1800,Sector 7 Dwarka,4.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,8.0
6,154.0,1500,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0
7,135.0,1800,Sector 5 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0
8,65.0,1000,Sector 23 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
10,110.0,1000,Sector 24 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
11,125.0,1550,Sector 11 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0
12,148.0,1800,Sector 23 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0
13,125.0,600,Sector 12 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0
14,33.0,385,Sector 23 Dwarka,1.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,2.0
15,1100.0,2500,West End,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,8.0
16,50.0,1000,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
17,175.0,1300,Sector 9 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0
18,36.0,1050,Mundka,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0
19,165.0,1600,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,1,6.0
20,105.0,1200,Sector 10 Dwarka,2.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,4.0
21,60.0,1000,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
22,150.0,1350,Sarita Vihar,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0
23,25.0,435,Uttam Nagar,2.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,4.0
24,58.0,900,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
25,158.0,1800,Sector 7 Dwarka,4.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,8.0
26,154.0,1500,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0
27,135.0,1800,Sector 5 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0
28,65.0,1000,Sector 23 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
29,125.0,1300,Mayur Vihar II,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0
